id,tenant_id,client_id,name,email,phone,created_at
3e075676-0f2e-4832-8147-ef1559236359,1,1,Customer 1,customer1@example.com,5511999991001,2025-12-09T03:18:14.418Z
54db49cf-1b3b-4ff4-91f7-fcd53f400d33,1,1,Customer 2,customer2@example.com,5511999991002,2025-12-09T03:18:14.419Z
80ba82c2-eb7b-4cdd-93be-3376ddcf5269,1,1,Customer 3,customer3@example.com,5511999991003,2025-12-09T03:18:14.419Z
884b8639-90c2-49ae-ae8b-cb620b6f5a71,1,1,Customer 4,customer4@example.com,5511999991004,2025-12-09T03:18:14.419Z
d6e11ac2-779c-4126-aa95-16e29250dc7d,1,1,Customer 5,customer5@example.com,5511999991005,2025-12-09T03:18:14.419Z
b3d29ee2-55f5-44a0-ab8f-03ce239b6de8,1,1,Customer 6,customer6@example.com,5511999991006,2025-12-09T03:18:14.419Z
516ff421-260e-41da-a050-2e1be4aedeb3,1,1,Customer 7,customer7@example.com,5511999991007,2025-12-09T03:18:14.419Z
2e12a9d2-bfd3-480d-985e-12b55aeec76b,1,1,Customer 8,customer8@example.com,5511999991008,2025-12-09T03:18:14.419Z
c22a19e5-cf28-41cc-85e1-458820570296,1,1,Customer 9,customer9@example.com,5511999991009,2025-12-09T03:18:14.419Z
54d41b73-d660-492e-b4cf-cf496bbfad37,1,1,Customer 10,customer10@example.com,5511999991010,2025-12-09T03:18:14.419Z
9f2061d5-7a7f-4453-b964-8e5c57933c2d,1,1,Customer 11,customer11@example.com,5511999991011,2025-12-09T03:18:14.419Z
7a5b592a-e9a5-4e97-b33a-fe16a28424cb,1,1,Customer 12,customer12@example.com,5511999991012,2025-12-09T03:18:14.419Z
33914c37-501d-4a09-a54f-3ba44bc5bcdd,1,1,Customer 13,customer13@example.com,5511999991013,2025-12-09T03:18:14.419Z
14aa9d64-4747-4e78-a223-8cb1f3515689,1,1,Customer 14,customer14@example.com,5511999991014,2025-12-09T03:18:14.419Z
29074982-3e38-4fc6-af9b-5699c2f96ea3,1,1,Customer 15,customer15@example.com,5511999991015,2025-12-09T03:18:14.419Z
8a395fc0-59a2-4162-a0a0-4078db751795,1,1,Customer 16,customer16@example.com,5511999991016,2025-12-09T03:18:14.419Z
87336be2-d2b2-4378-99db-9dc582fcffa0,1,1,Customer 17,customer17@example.com,5511999991017,2025-12-09T03:18:14.419Z
832568ce-a514-42c6-8738-902b4fb503e4,1,1,Customer 18,customer18@example.com,5511999991018,2025-12-09T03:18:14.420Z
c17b57cc-8733-4eed-a741-43175af7927b,1,1,Customer 19,customer19@example.com,5511999991019,2025-12-09T03:18:14.420Z
32851974-e036-49e9-8429-756d1ba0c0cd,1,1,Customer 20,customer20@example.com,5511999991020,2025-12-09T03:18:14.420Z
d7479625-42a5-4c3c-ade9-38d191b66f56,1,1,Customer 21,customer21@example.com,5511999991021,2025-12-09T03:18:14.420Z
0e6d6dce-ac4f-47dd-a07a-ea09fbace17c,1,1,Customer 22,customer22@example.com,5511999991022,2025-12-09T03:18:14.420Z
24620abe-3f3c-46d3-a92a-8a3524ba138d,1,1,Customer 23,customer23@example.com,5511999991023,2025-12-09T03:18:14.420Z
144b0d67-e7b4-4929-9d7f-9a8b63b37238,1,1,Customer 24,customer24@example.com,5511999991024,2025-12-09T03:18:14.420Z
90b01a6d-eada-43fe-b353-2978a33fa488,1,1,Customer 25,customer25@example.com,5511999991025,2025-12-09T03:18:14.420Z
ec360aad-749d-4dd2-8123-c5cb8a3d4a87,1,1,Customer 26,customer26@example.com,5511999991026,2025-12-09T03:18:14.420Z
cec95630-1613-4890-a3b7-9abba2f2dfc2,1,1,Customer 27,customer27@example.com,5511999991027,2025-12-09T03:18:14.420Z
eacb8e92-75e6-4f07-bc02-d725844d8f8b,1,1,Customer 28,customer28@example.com,5511999991028,2025-12-09T03:18:14.420Z
08f25b32-b445-443e-bd23-2236318d2dfc,1,1,Customer 29,customer29@example.com,5511999991029,2025-12-09T03:18:14.420Z
dde9ce44-9dca-4542-83f4-03094581a91f,1,1,Customer 30,customer30@example.com,5511999991030,2025-12-09T03:18:14.420Z
097300c8-7673-4a8c-a0e1-3f8c41003f32,1,1,Customer 31,customer31@example.com,5511999991031,2025-12-09T03:18:14.420Z
ccc0be4e-a2a2-4ab9-b186-6e8fa8fd1d11,1,1,Customer 32,customer32@example.com,5511999991032,2025-12-09T03:18:14.420Z
51da34c7-8209-43ff-b7ea-9fdbc48920ee,1,1,Customer 33,customer33@example.com,5511999991033,2025-12-09T03:18:14.420Z
ba221445-55eb-4bac-bf1e-c71052de3200,1,1,Customer 34,customer34@example.com,5511999991034,2025-12-09T03:18:14.420Z
